Lacuna Coil - Within Me.webm,640,480,vp9,13.7
Queens Of The Stone Age - Go With The Flow.webm,1920,1080,vp9,32.36
Living Colour - Cult Of Personality.webm,640,480,vp9,21.96
Arch Enemy - As The Pages Burn (Live).webm,1920,1080,vp9,74.11
My Chemical Romance - Helena.webm,640,480,vp9,16.13
Iron Maiden - Bring Your Daughter To The Slaughter.webm,1280,720,vp9,45.9
Sahara Hotnights - Alright Alright (Here's My Fist Where's The Fight).webm,854,480,vp9,13.94
The Pretty Reckless - Messed Up World (F'd Up World).webm,1920,1080,vp9,78.44
Steel Panther - Death To All But Metal (Explicit).webm,854,480,vp9,20.78
Black Grape - Kelly's Heroes (The Bank Job Version).webm,640,480,vp9,21.2
The Cranberries - Linger.webm,1920,1080,vp9,26.61
Whitesnake - Is This Love.webm,640,480,vp9,12.66
R.E.M. - Everybody Hurts.webm,1920,1080,vp9,94.6
Arch Enemy - In The Eye Of The Storm.webm,3840,1600,vp9,412.44
Rise Against - Ready To Fall.webm,640,480,vp9,16.4
Nickelback - How You Remind Me.webm,1920,1080,vp9,58.44
Michael Jackson - Thriller.webm,2880,2160,vp9,1191.24
The Libertines - Can't Stand Me Now.webm,640,480,vp9,16.36
The White Stripes - Dead Leaves And The Dirty Ground.webm,1920,1080,vp9,39.45
Back to the Future Huey Lewis and the News - The Power of Love.webm,1920,1080,vp9,59.36
Moist - Believe Me.webm,640,480,vp9,17.34
Space - Female Of The Species.webm,640,336,vp9,10.7
Meat Loaf - Bat Out of Hell.webm,640,480,vp9,38.04
The Pretty Reckless - Miss Nothing.webm,1920,1080,vp9,51.2
Linkin Park - Papercut.webm,3840,2160,vp9,408.73
Metallica - The Unforgiven II.webm,640,480,vp9,15.28
Within Temptation - Faster.webm,3840,1632,vp9,376.26
Lady Gaga - Poker Face.webm,1920,1080,vp9,64.63
KISS - I Was Made For Lovin' You.webm,1920,1080,vp9,56.91
Bryan Adams - Summer Of '69.webm,1920,1080,vp9,34.84
Florence + The Machine - Shake It Out.webm,1920,1080,vp9,49.0
Weezer - (If You're Wondering If I Want You To) I Want You To.webm,3840,2160,vp9,427.56
Blur - Stereotypes (Live T.F.I. Friday 1995).webm,854,480,vp9,52.69
Menswear - Stardust.webm,480,360,vp9,8.85
Kula Shaker - Hey Dude.webm,648,480,vp9,22.29
